business_name,business_type,address,city,date
"Zume, Inc.",Other manufacturing,151 Factory Stores Drive,Camarillo,2021-01-16
"Channel Islands Aviation, Inc.",Other (specify),305 Durley Avenue,Camarillo,2021-01-16
"Hi-Temp Insulation, Inc - Building 1 & 2",Other manufacturing,4700 Calle Alto,Camarillo,2021-01-16
New Balance Athletics - Camarillo,Retail space (including grocery stores),"500 Ventura Boulevard, Suite 1500,",Camarillo,2021-01-16
"Crocs Retail, LLC",Retail space (including grocery stores),"620 Ventura Boulevard, #1302",Camarillo,2021-01-16
"Columbia Brands USA, LLC  Cam.",Retail space (including grocery stores),630 East Ventura Blvd,Camarillo,2021-01-16
Polo Ralph Lauren Factory Store at Camarillo Premium Outlets,Retail space (including grocery stores),740 Ventura Boulevard STE 908,Camarillo,2021-01-16
"Gared Graphics, Inc.",Other manufacturing,980 Avenida Acaso,Camarillo,2021-01-16
"El Pescador #12, Inc.",Food service/restaurant,1305 W Ventura St,Fillmore,2021-01-16
Devil Mountain Wholesale Nursery,Other (specify),3200 West Telegraph Road,Fillmore,2021-01-16
Benchmark Electronics,Other manufacturing,200 Science Drive,Moorpark,2021-01-16
"Picnic Time, Inc.",Distribution warehouse,5131 Maureen Lane,Moorpark,2021-01-16
Wells Fargo Moorpark,Bank/financial services,515 West Los Angeles Avenue,Moorpark,2021-01-16
"Skyworks Solutions, Inc.",Other manufacturing,2421 / 2427 West Hillcrest Drive,Newbury Park,2021-01-16
Panda Express  N.P.,Food service/restaurant,2690 Teller,Newbury Park,2021-01-16
Taco Bell - Newbury Park,Food service/restaurant,791 Wendy Drive,Newbury Park,2021-01-16
Ojai Valley Inn and Spa,"Accommodations (e.g. hotel, hostel, motel)",905 Country Club Road,Ojai,2021-01-16
Fidelity National Title Company,Bank/financial services,1000 Town Center Drive STE 260,Oxnard,2021-01-16
Commercial Cooler Western Precooling,Other (specify),1001 Commercial Avenue,Oxnard,2021-01-16
Seed Beauty #3,Factory/manufacturing plant,1201 Vanguard Drive (Section B),Oxnard,2021-01-16
Goodwill Industries of Ventura and Santa Barbara Counties,Office space/workspace,130 Lombard Street,Oxnard,2021-01-16
Seed Beauty #1,Factory/manufacturing plant,1400 Stellar Drive,Oxnard,2021-01-16
"Plascene, Inc.",Other manufacturing,1600 Pacific Avenue,Oxnard,2021-01-16
Seed Beauty #2,Factory/manufacturing plant,1600 Westar Drive (section B),Oxnard,2021-01-16
Panda Express - South Oxnard,Food service/restaurant,1671 East Channel Islands Boulevard,Oxnard,2021-01-16
Urbane Cafe - Oxnard,Food service/restaurant,1750 East Gonzales Road,Oxnard,2021-01-16
Team Nissan of Oxnard,Other (specify),1801 Auto Center Drive,Oxnard,2021-01-16
Costco Wholesale - Oxnard,Retail space (including grocery stores),2001 East Ventura Boulevard,Oxnard,2021-01-16
Limoneira,Agricultural operations,2001 Sunkist Circle,Oxnard,2021-01-16
Mercy Crusade Inc. Spay Neuter & Wellness Clinic,"Animal services (e.g., animal shelter/control, veterinary clinic)",2225 Craig Drive,Oxnard,2021-01-16
Ventura Pacific Company,Agricultural operations,245 East Colonia Road,Oxnard,2021-01-16
"Mission Produce, Inc",Agricultural operations,"2500 East Vineyard Avenue, Suite 300",Oxnard,2021-01-16
Wiggins Lift Co,Other manufacturing,2571 Cortez Street,Oxnard,2021-01-16
Toppers Pizza Place Channel Islands,Food service/restaurant,2701 Peninsula Road,Oxnard,2021-01-16
Jack in the Box - Oxnard (Rose Ave.),Food service/restaurant,2800 South Rose Avenue,Oxnard,2021-01-16
HAAS,Other manufacturing,2800 Sturgis Road,Oxnard,2021-01-16
Santa Clara Church,Place of worship,323 South E Street,Oxnard,2021-01-16
"Drum Workshop, Inc.",Other manufacturing,3450 Lunar Court,Oxnard,2021-01-16
"Complyright Distributions Services, Inc.",Other manufacturing,3451 Jupiter Court,Oxnard,2021-01-16
"Mirror Metals, Inc",Other (specify),350 Hearst Drive,Oxnard,2021-01-16
In-N-Out Burger - Oxnard,Food service/restaurant,381 West Esplanade Drive,Oxnard,2021-01-16
"Coastal Pediatric Medical Group, Inc.",Urgent care center/clinic,451 West Gonzales Road,Oxnard,2021-01-16
PTI Technologies,Factory/manufacturing plant,501 North Del Norte Boulevard,Oxnard,2021-01-16
Duda Farm Fresh Foods,Agricultural operations,860 Pacific Avenue,Oxnard,2021-01-16
PAC Foundries,Other (specify),705 Industrial Avenue,Port Hueneme,2021-01-16
"GLOVIS AMERICA, INC","Airline/maritime travel (e.g. flights, cruise ships)",NBVC 32nd Avenue & Track 13,Port Hueneme,2021-01-16
United Staffing Associates,Agricultural operations,"110 West Harvard Boulevard, Suite D",Santa Paula,2021-01-16
Limoneira,Agricultural operations,1141 Cummings Road,Santa Paula,2021-01-16
Armstrong Growers,Agricultural operations,14545 West Telegraph Road,Santa Paula,2021-01-16
Taco Bell - Santa Paula,Food service/restaurant,535 West Harvard Boulevard,Santa Paula,2021-01-16
Panda Express - Santa Paula,Food service/restaurant,545 West Harvard Boulevard,Santa Paula,2021-01-16
Saticoy Foods Corporation,Food processing/manufacturing (other than meat),554 Todd Road,Santa Paula,2021-01-16
Albertson's Inc,Retail space (including grocery stores),576 West Main Street,Santa Paula,2021-01-16
Tutor Time - Simi Valley,Daycare/Preschool,1080 Country Club Drive,Simi Valley,2021-01-16
Lowe's Home Improvement - Simi Valley,Retail space (including grocery stores),1275 Simi Town Center Way,Simi Valley,2021-01-16
Panda Express S V,Food service/restaurant,153 Cochran St.,Simi Valley,2021-01-16
"Meggitt Safety Systems, Inc.",Other manufacturing,1955 Surveyor Avenue,Simi Valley,2021-01-16
PSI Bearings,Other manufacturing,2175 Union Place,Simi Valley,2021-01-16
"Toppers Pizza Place, Simi Valley",Food service/restaurant,2408 Erringer Road,Simi Valley,2021-01-16
Chick-Fil-A - Simi Valley,Food service/restaurant,2460 Sycamore Drive,Simi Valley,2021-01-16
Costco Wholesale - Simi Valley,Retail space (including grocery stores),2660 Park Center Drive,Simi Valley,2021-01-16
Wells Fargo Simi Valley,Bank/financial services,2740 Cochran Street,Simi Valley,2021-01-16
Green Acres Farm Mkt. & Catering,Retail space (including grocery stores),2918 Los Angeles Ave.,Simi Valley,2021-01-16
Trader Joe's - Simi Valley,Retail space (including grocery stores),2975A Cochran Street,Simi Valley,2021-01-16
Milgard Windows & Doors,Other manufacturing,355 E. Easy Street,Simi Valley,2021-01-16
Nagel Orthodontics,Other medical facility,3695 Alamo Street STE 301,Simi Valley,2021-01-16
The Home Depot S.V.,Retail space (including grocery stores),575 Cochran St.,Simi Valley,2021-01-16
Target Optical,Retail space (including grocery stores),2705 Teller Rd.,Thousand Oaks,2021-01-16
Nordstrom Thousand Oaks,Retail space (including grocery stores),350 West Hillcrest Drive,Thousand Oaks,2021-01-16
Conejo Valley Veterinary Hospital,"Animal services (e.g., animal shelter/control, veterinary clinic)",3580 Willow Lane,Thousand Oaks,2021-01-16
The Cheesecake Factory - Thousand Oaks,Food service/restaurant,442 West Hillcrest Drive,Thousand Oaks,2021-01-16
Urbane Cafe - Thousand Oaks,Food service/restaurant,50 Thousand Oaks Boulevard,Thousand Oaks,2021-01-16
Michael & Associates Law Firm,Office space/workspace,"555 Saint Charles Drive, Suite 204",Thousand Oaks,2021-01-16
"Michael & Associates, PC",Office space/workspace,"555 St. Charles Drive, Suite 204",Thousand Oaks,2021-01-16
Little Calf Creamery,Food service/restaurant,652 East Janss Road,Thousand Oaks,2021-01-16
Trader Joe's - Ventura (S. Mills Rd.),Food service/restaurant,103 South Mills Road,Ventura,2021-01-16
Jack in the Box - Saticoy,Food service/restaurant,11044 Citrus Drive,Ventura,2021-01-16
County of Ventura - General Services Agency,"Auto services (e.g., auto repair, gas station, car wash)",11201 - A1 Riverbank Drive,Ventura,2021-01-16
Island View Gastoenterology Associates,Other medical facility,"168 North Brent Street, STE 404",Ventura,2021-01-16
Trader Joe's - Ventura (S. Victoria Ave.),Retail space (including grocery stores),1795 South Victoria Avenue,Ventura,2021-01-16
UPS - Ventura,Distribution warehouse,2559 Palma Drive,Ventura,2021-01-16
Contractor's Warehouse,Retail space (including grocery stores),2625 Johnson Drive,Ventura,2021-01-16
Wood Ranch BBQ and Grill  Ventura,Food service/restaurant,3449 E. Main Street,Ventura,2021-01-16
JC Penney,Retail space (including grocery stores),377 South Mills Road,Ventura,2021-01-16
