business_name,business_type,address,city,date,download_date
"Zume, Inc.",Other manufacturing,151 Factory Stores Drive,Camarillo,1610496.0,2021-02-04
"Channel Islands Aviation, Inc.",Other (specify),305 Durley Avenue,Camarillo,1610409.6,2021-02-04
"Hi-Temp Insulation, Inc - Building 1 & 2",Other manufacturing,4700 Calle Alto,Camarillo,1610582.4,2021-02-04
New Balance Athletics - Camarillo,Retail space (including grocery stores),"500 Ventura Boulevard, Suite 1500,",Camarillo,1610409.6,2021-02-04
"Crocs Retail, LLC",Retail space (including grocery stores),"620 Ventura Boulevard, #1302",Camarillo,1610496.0,2021-02-04
"Columbia Brands USA, LLC  Cam.",Retail space (including grocery stores),630 East Ventura Blvd,Camarillo,1610064.0,2021-02-04
Polo Ralph Lauren Factory Store at Camarillo Premium Outlets,Retail space (including grocery stores),740 Ventura Boulevard STE 908,Camarillo,1609977.6,2021-02-04
"Gared Graphics, Inc.",Other manufacturing,980 Avenida Acaso,Camarillo,1610064.0,2021-02-04
"El Pescador #12, Inc.",Food service/restaurant,1305 W Ventura St,Fillmore,1610323.2,2021-02-04
Devil Mountain Wholesale Nursery,Other (specify),3200 West Telegraph Road,Fillmore,1610582.4,2021-02-04
Benchmark Electronics,Other manufacturing,200 Science Drive,Moorpark,1610496.0,2021-02-04
"Picnic Time, Inc.",Distribution warehouse,5131 Maureen Lane,Moorpark,1610323.2,2021-02-04
Wells Fargo Moorpark,Bank/financial services,515 West Los Angeles Avenue,Moorpark,1610064.0,2021-02-04
"Skyworks Solutions, Inc.",Other manufacturing,2421 / 2427 West Hillcrest Drive,Newbury Park,1610582.4,2021-02-04
Panda Express  N.P.,Food service/restaurant,2690 Teller,Newbury Park,1610064.0,2021-02-04
Taco Bell - Newbury Park,Food service/restaurant,791 Wendy Drive,Newbury Park,1610496.0,2021-02-04
Ojai Valley Inn and Spa,"Accommodations (e.g. hotel, hostel, motel)",905 Country Club Road,Ojai,1609891.2,2021-02-04
Fidelity National Title Company,Bank/financial services,1000 Town Center Drive STE 260,Oxnard,1609977.6,2021-02-04
Commercial Cooler Western Precooling,Other (specify),1001 Commercial Avenue,Oxnard,1609977.6,2021-02-04
Seed Beauty #3,Factory/manufacturing plant,1201 Vanguard Drive (Section B),Oxnard,1610409.6,2021-02-04
Goodwill Industries of Ventura and Santa Barbara Counties,Office space/workspace,130 Lombard Street,Oxnard,1609891.2,2021-02-04
