business_name,address,city,business_type,date,download_date
In-N-Out Burger,1316 Ventura Boulevard,Camarillo,Food service/restaurant,2021-01-19,2022-01-08
Cornerstone Christian,1777 Arneill Rd.,Camarillo,School /Education,2021-11-10,2022-01-08
ATT,1955 East Daily Drive,Camarillo,Retail including grocery,2021-01-21,2022-01-08
"Sunbelt Rentals, Inc.",210 Wood Road,Camarillo,Other,2021-07-13,2022-01-08
"Channel Islands Aviation, Inc.",305 Durley Avenue,Camarillo,Other,2021-01-12,2022-01-08
"Mike's Farm Labor, Inc.","3211 Corte Malpaso, Unit #401",Camarillo,Agricultural Operation,2021-01-21,2022-01-08
Show Scapes,365 Willis Avenue,Camarillo,Office/Workplace,2021-02-05,2022-01-08
Rancho Campana High,4235 Mar Vista Drive,Camarillo,School /Education,2021-09-21,2022-01-08
Teledyne Imaging Sensors,5212 Verdugo Way,Camarillo,Other,2021-12-21,2022-01-08
"Zumiez, Inc.",620 Ventura Boulevard,Camarillo,Retail including grocery,2021-12-20,2022-01-08
"Crocs Retail, LLC","620 Ventura Boulevard, #1302",Camarillo,Retail including grocery,2021-01-13,2022-01-08
"Eaton Corp,","750 West Ventura Boulevard,",Camarillo,Other,2021-03-08,2022-01-08
Hygiena,941 Avenida Acaso,Camarillo,Other,2022-01-07,2022-01-08
Las Posas Country Club,955 Fairway Drive,Camarillo,Other,2021-01-27,2022-01-08
"Gared Graphics, Inc.",980 Avenida Acaso,Camarillo,Other,2021-01-08,2022-01-08
The Spanish Hills Club,999 Crestview Avenue,Camarillo,Other,2021-12-14,2022-01-08
Devil Mountain Wholesale Nursery,3200 West Telegraph Road,Fillmore,Other,2021-01-14,2022-01-08
Mountain Vista,918 Fifth Street,Fillmore,Other 2,2021-12-01,2022-01-08
Mesa Verde Middle,14000 Peach Hill Road,Moorpark,Other 2,2021-10-18,2022-01-08
Euodia Salon & Day Spa,142 West Los Angeles Avenue,Moorpark,Other 2,2021-07-21,2022-01-08
Campus Canyon Elementary,15300 Monroe Avenue,Moorpark,Other 2,2021-08-25,2022-01-08
Arroyo West Elementary,4117 Country Hill Road,Moorpark,Other 2,2021-09-09,2022-01-08
Moorpark High,4500 Tierra Rejada Road,Moorpark,School /Education,2021-03-03,2022-01-08
